time/total_timesteps,rollout/exploration rate,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/episodes,time/fps,train/loss,rollout/ep_rew_mean,time/time_elapsed
631733,0.6999268250000001,157808,5e-05,11.07,67000,979,0.7082462906837463,0.54619175,645
643350,0.6944087499999999,160712,5e-05,11.94,68000,977,1.2689557075500488,0.8412460800000001,657
655142,0.6888075500000002,163660,5e-05,11.06,69000,976,1.4456701278686523,0.8837448699999999,670
666927,0.6832096750000003,166606,5e-05,11.74,70000,975,1.5556316375732422,0.9277677500000001,683
678617,0.677656925,169529,5e-05,13.16,71000,974,1.5863348245620728,0.9174504699999999,696
690494,0.6720153499999999,172498,5e-05,11.46,72000,973,1.0396745204925537,0.6693716900000001,709
701874,0.66660985,175343,5e-05,12.49,73000,972,0.6751428246498108,1.27772912,721
714203,0.660753575,178425,5e-05,12.05,74000,971,0.9203721284866333,1.22423583,735
726176,0.6550663999999997,181418,5e-05,10.84,75000,969,1.1243715286254883,0.7311724000000001,748
739037,0.648957425,184634,5e-05,13.42,76000,968,1.1479500532150269,1.14474275,762
751411,0.6430797750000001,187727,5e-05,12.21,77000,967,1.1364108324050903,1.0291632800000001,776
764233,0.6369893250000002,190933,5e-05,12.68,78000,966,0.7425892353057861,1.1627225999999997,790
776630,0.6311007499999999,194032,5e-05,10.57,79000,965,0.9068337678909302,0.8725961800000002,804
789639,0.6249214750000002,197284,5e-05,10.57,80000,964,96.04903411865234,0.7561141100000002,819
802800,0.6186699999999999,200574,5e-05,10.66,81000,962,1.5239510536193848,0.97213573,833
815190,0.6127847500000001,203672,5e-05,10.77,82000,961,1.7199528217315674,0.9959259000000001,847
828507,0.6064591749999997,207001,5e-05,14.01,83000,960,2.3363146781921387,1.07040502,862
841625,0.6002281249999999,210281,5e-05,12.69,84000,959,1.1752253770828247,1.3858567099999999,877
855275,0.5937443750000001,213693,5e-05,14.6,85000,958,1.5987049341201782,1.3681843899999995,892
869085,0.5871846249999997,217146,5e-05,15.32,86000,957,2.194448709487915,1.98551393,907
882459,0.5808319750000001,220489,5e-05,13.5,87000,956,1.4038461446762085,1.5395755200000003,923
896334,0.5742413500000002,223958,5e-05,13.54,88000,954,1.6677649021148682,1.53756329,938
910369,0.5675747250000001,227467,5e-05,14.32,89000,953,0.9384474158287048,1.78262327,954
925596,0.5603419000000003,231273,5e-05,16.53,90000,952,1.1176735162734985,2.02112533,971
939680,0.5536519999999998,234794,5e-05,13.94,91000,951,1.3215110301971436,1.96197874,987
955197,0.5462814250000001,238674,5e-05,14.71,92000,949,0.5835713744163513,1.7639837999999997,1005
969821,0.5393350250000002,242330,5e-05,14.43,93000,948,0.5370218753814697,1.84817314,1022
984171,0.5325187749999998,245917,5e-05,14.88,94000,947,0.6399274468421936,1.9717844300000003,1038
998855,0.5255438750000003,249588,5e-05,14.34,95000,946,0.6735755801200867,1.6356661599999998,1055
1014060,0.5183215000000001,253389,5e-05,14.7,96000,945,0.9148902893066406,2.20779696,1072
1030084,0.5107101000000001,257395,5e-05,12.95,97000,944,0.7219579815864563,1.9843060799999999,1091
1045576,0.5033513999999999,261268,5e-05,15.18,98000,942,1.0483531951904297,2.67576209,1108
1061610,0.4957352500000003,265277,5e-05,17.1,99000,941,0.7140411734580994,2.70847668,1127
1077286,0.4882891500000003,269196,5e-05,12.78,100000,940,0.6028860807418823,1.80364204,1145
